ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10009,AM,999,2301,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Research","",Closed,0,15,0,"","In Person"
10024,ANTH,101,103V,Lecture,"3","Clare Terni","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 334","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Introduction to Anthropology","",Closed,20,18,0,"","In Person"
10025,ANTH,101Z,303E,Lecture,"3","Rachel Most","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Intro Cultural Anthropology","",Closed,36,35,0,"","In Person"
10026,ANTH,211,1040,Independent Study,"3","David Strohl","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 122","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Technology Culture & Military","",Closed,0,20,0,"","In Person"
10027,ANTH,225,404P,Lecture,"3","Richard Handler","MoTuWeThFr 12:00AM - 12:00AM","TBA","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Racism Nationalism Multicult","",Closed,1,1,0,"","In Person"
10028,ANTH,228,103B,Lecture,"3","Wende Marshall","MoTuWeThFr 1:00PM - 3:15PM","Mcleod Hall 2014","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Intro to Medical Anthropology","",Closed,19,25,0,"","In Person"
10029,ANTH,232Z,304N,Lecture,"3","Carolyn Heinz","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Ritual And Belief","",Closed,35,35,0,"","In Person"
10030,ANTH,239Z,304P,Lecture,"3","Carolyn Heinz","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Women In Cross Cult Perspectiv","",Closed,17,20,0,"","In Person"
10031,ANTH,240,002D,Lecture,"3","Adam Harr","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 123","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Language and Culture","",Closed,27,25,0,"","In Person"
10032,ANTH,252,403T,Lecture,"3","Holly Singh","MoTuWeThFr 1:00PM - 3:15PM","Wilson Hall 215","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Men & Masculinities in S Asia","",Closed,17,19,0,"","In Person"
10033,ANTH,259,4020,Lecture,"3","Roberto Armengol","MoTuWeThFr 10:30AM - 12:45PM","Halsey Hall 123","07/10/2008 - 08/07/2008","","","","","","","","","","","","","NW Coastal Indians","",Closed,15,25,0,"","In Person"
10034,ANTH,262,001K,Lecture,"3","H Seneviratne","MoTuWeThFr 1:00PM - 3:15PM","Clemons Library 322B","05/12/2008 - 06/06/2008","","","","","","","","","","","","","So Many ""Little Indias""","",Open,16,25,0,"","In Person"
10035,ANTH,264,103P,Lecture,"3","Claire Snell-Rood","MoTuWeThFr 10:30AM - 12:45PM","Maury Hall 113","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Arthrop Inv't of Urban Poverty","",Closed,18,25,0,"","In Person"
10036,ANTH,369Z,599B,Lecture,"6","George Mentore","MoTuWeThFr 8:00AM - 5:00PM","TBA","07/05/2008 - 08/16/2008","","","","","","","","","","","","","Guiana Amerindian Studies","",Closed,7,10,0,"","In Person"
10037,ANTH,381,002E,Lecture,"3","Elizabeth Bollwerk","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Field Methods in Archaeology","",Closed,6,25,0,"","In Person"
10038,ANTH,382Z,5987,Lecture,"3","Jillian Galle","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/24/2008 - 06/21/2008","","","","","","","","","","","","","Field Mthds in Historical Arch","",Closed,0,15,0,"","In Person"
10039,ANTH,386Z,303G,Lecture,"3","Rachel Most","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Soc Life of Goods & Materials","",Closed,21,35,0,"","In Person"
10040,ANTH,387,002K,Lecture,"3","Jeffrey Hantman","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Archaeology of Virginia","",Closed,6,25,0,"","In Person"
10041,ANTH,461Z,5985,Lecture,"3","Robert Swap","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/20/2008 - 06/20/2008","","","","","","","","","","","","","People, Culture & Env S Africa","",Open,15,20,0,"","In Person"
10044,ANTH,496,001U,Independent Study,"1 - 6","Staff","TBA","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,0,15,0,"","In Person"
10042,ANTH,496,1020,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,0,15,0,"","In Person"
10043,ANTH,496,4018,Independent Study,"1 - 6","Staff","TBA","TBA","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Indep Study in Anthropology","",Closed,1,15,0,"","In Person"
10045,ANTH,589,2012,Lecture,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Topics in Archaeology","",Closed,0,15,0,"","In Person"
10046,ANTH,589,6001,Lecture,"6","Fraser Neiman","MoTuWeThFr 8:00AM - 4:30PM","TBA","06/02/2008 - 07/11/2008","","","","","","","","","","","","","Topics in Archaeology","",Closed,12,15,0,"","In Person"
10047,ANTH,589,6002,Lecture,"6","William Kelso","MoTuWeThFr 8:00AM - 4:00PM","TBA","06/02/2008 - 07/11/2008","","","","","","","","","","","","","Topics in Archaeology","",Closed,19,20,0,"","In Person"
10048,ANTH,589,6003,Lecture,"5","Jack Gary","MoTuWeThFr 8:15AM - 4:00PM","TBA","06/02/2008 - 07/04/2008","","","","","","","","","","","","","Topics in Archaeology","",Closed,7,15,0,"","In Person"
10049,ANTH,595,2013,Independent Study,"2","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,40,0,"","In Person"
10050,ANTH,898,2014,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,15,0,"","In Person"
10051,ANTH,901,2015,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Directed Readings","",Closed,0,20,0,"","In Person"
10052,ANTH,999,2016,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,15,0,"","In Person"
10053,APMA,109,301A,Lecture,"4","William Johnson","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 011","06/16/2008 - 07/25/2008","","","","","","","","","","","","","Single Variable Calculus I","",Closed,19,35,0,"","In Person"
10054,APMA,212,201A,Lecture,"4","Manouchehr Mohajeri","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 005","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Multivariate Calculus","",Closed,24,30,0,"","In Person"
10055,APMA,213,2135,Lecture,"4","Norman Beil","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 005","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Ordinary Differentl Equations","",Closed,27,30,0,"","In Person"
10056,APMA,308,201W,Lecture,"3","Paramasamy Karuppuchamy","MoTuWeThFr 1:00PM - 2:00PM","Olsson Hall 005","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Linear Algebra","",Closed,14,30,0,"","In Person"
10057,APMA,310,201B,Lecture,"3","James Lark","MoTuWeThFr 9:15AM - 10:15AM","Olsson Hall 009","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Probability","",Closed,14,30,0,"","In Person"
10058,APMA,311,2090,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Olsson Hall 009","06/10/2008 - 08/07/2008","","","","","","","","","","","","","App Probability & Statistics","",Closed,8,30,0,"","In Person"
10059,APMA,312,201X,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Olsson Hall 009","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Statistics","",Closed,6,20,0,"","In Person"
10060,APMA,693,2286,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10061,APMA,695,2287,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10062,APMA,793,2288,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10063,APMA,795,2252,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10064,APMA,895,2289,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10065,APMA,897,2290,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,"","In Person"
10066,APMA,898,2291,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Thesis","",Closed,0,15,0,"","In Person"
10067,APMA,997,2292,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,"","In Person"
10068,APMA,999,2293,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Dissertation","",Closed,0,15,0,"","In Person"
10077,ARAB,101,001Y,Lecture,"4","Mohammed Sawaie, ","MoTuWeThFr 9:15AM - 12:15PM","New Cabell Hall 332","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Elementary Arabic I","",Closed,13,20,0,"","In Person"
10078,ARAB,102,101G,Lecture,"4","Mohammed Sawaie, ","MoTuWeThFr 9:15AM - 12:15PM","New Cabell Hall B031","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Elementary Arabic II","",Closed,8,20,0,"","In Person"
10079,ARAB,493,203V,Independent Study,"1 - 3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study in Arabic","",Closed,0,1,0,"","In Person"
10080,ARAH,563,6007,Lecture,"3","Daniel Ackermann, ","MoTuWeThFr 8:45AM - 4:00PM","TBA","07/07/2008 - 08/01/2008","Daniel Ackermann, ","MoTuWeThFr 12:00AM - 12:00AM","TBA","07/07/2008 - 08/01/2008","Daniel Ackermann, ","MoTuWeThFr 8:45AM - 4:00PM","TBA","07/07/2008 - 08/01/2008","Daniel Ackermann, ","MoTuWeThFr 8:45AM - 4:00PM","TBA","07/07/2008 - 08/01/2008","Southern Hist & Material Cult","",Closed,13,20,0,"","In Person"
10081,ARCH,201,1011,Lecture,"6","Firat Erdim","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Intro to Architectural Dsgn I","",Closed,7,25,0,"","In Person"
10082,ARCH,202,403H,Independent Study,"6","Peter Waldman","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 105","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Intro to Architectural Dsgn II","",Closed,8,25,0,"","In Person"
10083,ARCH,204,403K,Lecture,"3","Michael Bednar","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 301","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Intro to Architectural Design","",Closed,6,18,0,"","In Person"
10084,ARCH,500Z,5979,Lecture,"3","Charles Menefee","MoTuWeThFr 8:00AM - 10:00PM","TBA","05/15/2008 - 06/20/2008","","","","","","","","","","","","","Vincenza Program","",Closed,20,20,0,"","In Person"
10085,ARCH,852,2443,Independent Study,"1 - 3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10069,ARH,112,4006,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","07/10/2008 - 08/07/2008","","","","","","","","","","","","","History of Architecture","",Closed,8,20,0,"","In Person"
10070,ARH,556Z,5980,Lecture,"3","Louis Nelson","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/23/2008 - 06/20/2008","","","","","","","","","","","","","Falmouth Field School","",Closed,21,25,0,"","In Person"
10071,ARH,588Z,5989,Lecture,"6","Yunsheng Huang","Su 8:00AM - 5:00PM","TBA","05/20/2008 - 06/30/2008","","","","","","","","","","","","","China Architecture Culture","",Closed,15,15,0,"","In Person"
10073,ARH,897,2002,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Individual Research","",Closed,0,15,0,"","In Person"
10072,ARH,897,2079,Independent Study,"1 - 3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Individual Research","",Closed,0,15,0,"","In Person"
10074,ARH,898,202B,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Research","",Closed,0,25,0,"","In Person"
10075,ARH,997,202N,Independent Study,"3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,25,0,"","In Person"
10076,ARH,999,201K,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,25,0,"","In Person"
10086,ARTH,100,404H,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 215","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-UVa Transfer/Test Credit","",Closed,5,25,0,"","In Person"
10087,ARTH,104Z,303H,Lecture,"3","Larry Silver","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Survey of European Art","",Closed,37,35,0,"","In Person"
10088,ARTH,105Z,303N,Lecture,"3","Larry Silver","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","World Art:traditions & Interac","",Closed,39,35,0,"","In Person"
10089,ARTH,214Z,597S,Lecture,"2","Adrienne Ward","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/29/2008 - 07/28/2008","","","","","","","","","","","","","Etruscan & Roman Art Architec","",Closed,0,15,0,"","In Person"
10090,ARTH,261,103H,Lecture,"3","Melissa Ragain","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 206","06/10/2008 - 07/08/2008","","","","","","","","","","","","","American Art","",Closed,7,20,0,"","In Person"
10091,ARTH,268,002T,Lecture,"3","Howard Singerman","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 208","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Art Since 1945","",Closed,16,20,0,"","In Person"
10092,ARTH,268Z,6175,Lecture,"3","Fernando Opere","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/20/2008 - 06/22/2008","","","","","","","","","","","","","Art Since 1945","",Closed,0,40,0,"","In Person"
10093,ARTH,268Z,6177,Lecture,"3","Fernando Opere","MoTuWeThFr 8:00AM - 5:00PM","TBA","06/24/2008 - 07/27/2008","","","","","","","","","","","","","Art Since 1945","",Closed,0,40,0,"","In Person"
10094,ARTH,274,002U,Lecture,"3","Elena Pakhutova","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 208","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Himalayan Art","",Closed,10,20,0,"","In Person"
10095,ARTH,300Z,597R,Lecture,"2","Adrienne Ward","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/29/2008 - 07/28/2008","","","","","","","","","","","","","Sienese Art and Architecture","",Closed,2,15,0,"","In Person"
10096,ARTH,316Z,5977,Lecture,"3","John Dobbins","MoTuWeThFr 8:00AM - 5:00PM","TBA","06/29/2008 - 07/30/2008","","","","","","","","","","","","","Roman Architecture","",Closed,20,25,0,"","In Person"
10097,ARTH,332Z,597F,Lecture,"2","Adrienne Ward","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/29/2008 - 07/28/2008","","","","","","","","","","","","","Imagery & Public Space","",Closed,0,15,0,"","In Person"
10098,ARTH,336Z,5978,Lecture,"3","Francesca Fiorani","MoTuWeTh 8:00AM - 5:00PM","TBA","06/29/2008 - 07/30/2008","","","","","","","","","","","","","Renaissance and Baroque Rome","",Closed,20,25,0,"","In Person"
10099,ARTH,591,103N,Independent Study,"3","Staff","TBA","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Adv Readings in Hist of Art","",Closed,0,15,0,"","In Person"
10100,ARTH,894,2008,Lecture,"3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Spcl Reading Problems in Art","",Closed,0,5,0,"","In Person"
10101,ARTH,898,2009,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,15,0,"","In Person"
10102,ARTH,999,2010,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Non-Topical Research","",Closed,0,15,0,"","In Person"
10103,ARTS,161,003D,Studio,"3","Akemi Rollando","MoTuWeThFr 1:00PM - 3:15PM","Dell 2 (Art Swing Space) 101","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Introduction to Drawing I","",Closed,23,24,0,"","In Person"
10104,ARTS,161Z,3033,Studio,"3","Darlene Campbell","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Beginning Drawing I","",Closed,21,20,0,"","In Person"
10105,ARTS,162Z,3037,Studio,"3","Darlene Campbell","TBA","TBA","06/14/2008 - 08/22/2008","","","","","","","","","","","","","Introduction to Drawing II","",Closed,21,20,0,"","In Person"
10106,ARTS,264Z,597T,Lecture,"2","Adrienne Ward","MoTuWeThFr 8:00AM - 5:00PM","TBA","05/29/2008 - 07/28/2008","","","","","","","","","","","","","The Human Figure","",Closed,0,15,0,"","In Person"
10107,ARTS,267,1007,Studio,"4","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Introduction to Printmaking I","",Closed,12,10,0,"","In Person"
10108,ARTS,272,102C,Studio,"3","Elizabeth Schoyer","TBA","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Introduction to Painting II","",Closed,1,1,0,"","In Person"
10109,ARTS,281,0001,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Introduction to Sculpture I","",Closed,9,10,0,"","In Person"
10110,ARTS,282,0004,Studio,"4","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Introduction to Sculpture II","",Closed,4,10,0,"","In Person"
10111,ARTS,368,102D,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Intermediate Printmaking II","",Closed,6,10,0,"","In Person"
10112,ARTS,381,0007,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Intermediate Sculpture I","",Closed,0,10,0,"","In Person"
10113,ARTS,381,1014,Studio,"3","William Bennett","TBA","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Intermediate Sculpture I","",Closed,1,1,0,"","In Person"
10114,ARTS,382,0008,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Intermediate Sculpture II","",Closed,0,10,0,"","In Person"
10115,ARTS,468,102K,Studio,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Adv Problems in Printmaking II","",Closed,0,10,0,"","In Person"
10116,ARTS,481,001C,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Advanced Sculpture I","",Closed,0,10,0,"","In Person"
10117,ARTS,482,001R,Independent Study,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","TBA","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Advanced Sculpture II","",Closed,1,10,0,"","In Person"
10118,ARTS,507,102M,Independent Study,"3","Dean Dass","MoTuWeThFr 10:30AM - 12:45PM","TBA","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Advanced Projects in Art","",Closed,0,10,0,"","In Person"
10119,ASTR,121,1021,Lecture,"3","George Trammell","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Intro Sky and Solar System","",Closed,8,25,0,"","In Person"
10120,ASTR,124,4019,Lecture,"3","Aaron Heroux","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Intro Stars Galaxies Universe","",Closed,9,25,0,"","In Person"
10121,ASTR,342,1170,Lecture,"3","Joleen Carlberg","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Life Beyond the Earth","",Open,13,25,0,"","In Person"
10122,ASTR,348,401Q,Lecture,"3","Daniel Wik","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Introduction to Cosmology","",Closed,6,25,0,"","In Person"
10123,ASTR,395,2019,Lecture,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Tutorial","",Closed,1,15,0,"","In Person"
10124,ASTR,571,1023,Lecture,"3","George Trammell","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","06/10/2008 - 07/08/2008","","","","","","","","","","","","","Fundamental Concepts in Astr","",Closed,0,5,0,"","In Person"
10125,ASTR,572,4021,Lecture,"3","Aaron Heroux","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Fundamental Concepts in Astr","",Closed,0,5,0,"","In Person"
